frame.number,frame.time,ip.src,ip.dst,vlan.id,eth.type,tcp.srcport,tcp.dstport
168,Jul 14, 2025 09:56:47.274309000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
169,Jul 14, 2025 09:56:47.381243000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
170,Jul 14, 2025 09:56:47.385196000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
171,Jul 14, 2025 09:56:47.389110000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
172,Jul 14, 2025 09:56:47.392095000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
173,Jul 14, 2025 09:56:47.445398000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
174,Jul 14, 2025 09:56:47.446958000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
175,Jul 14, 2025 09:56:47.559138000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
176,Jul 14, 2025 09:56:47.563136000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
177,Jul 14, 2025 09:56:47.567007000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
178,Jul 14, 2025 09:56:47.568488000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
179,Jul 14, 2025 09:56:47.614993000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
180,Jul 14, 2025 09:56:47.618412000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
181,Jul 14, 2025 09:56:47.628313000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
182,Jul 14, 2025 09:56:47.632148000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
183,Jul 14, 2025 09:56:47.636237000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
184,Jul 14, 2025 09:56:47.639729000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
185,Jul 14, 2025 09:56:47.687733000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
186,Jul 14, 2025 09:56:47.688686000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
187,Jul 14, 2025 09:56:47.730891000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
188,Jul 14, 2025 09:56:47.734992000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
189,Jul 14, 2025 09:56:47.738581000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
190,Jul 14, 2025 09:56:47.741986000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
191,Jul 14, 2025 09:56:47.794651000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
192,Jul 14, 2025 09:56:47.795998000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
193,Jul 14, 2025 09:56:47.909417000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
194,Jul 14, 2025 09:56:47.913062000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
195,Jul 14, 2025 09:56:47.915774000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
196,Jul 14, 2025 09:56:47.918040000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
197,Jul 14, 2025 09:56:47.959402000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
198,Jul 14, 2025 09:56:47.963081000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
199,Jul 14, 2025 09:56:48.083716000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
200,Jul 14, 2025 09:56:48.086996000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
201,Jul 14, 2025 09:56:48.089278000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
202,Jul 14, 2025 09:56:48.091519000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
203,Jul 14, 2025 09:56:48.136362000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
204,Jul 14, 2025 09:56:48.139283000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
205,Jul 14, 2025 09:56:48.253195000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
206,Jul 14, 2025 09:56:48.255078000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
207,Jul 14, 2025 09:56:48.258502000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
208,Jul 14, 2025 09:56:48.260475000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
209,Jul 14, 2025 09:56:48.305402000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
210,Jul 14, 2025 09:56:48.307110000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
211,Jul 14, 2025 09:56:48.427310000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
212,Jul 14, 2025 09:56:48.430381000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
213,Jul 14, 2025 09:56:48.434300000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
214,Jul 14, 2025 09:56:48.435651000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
215,Jul 14, 2025 09:56:48.484325000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
216,Jul 14, 2025 09:56:48.487289000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
217,Jul 14, 2025 09:56:48.602756000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
218,Jul 14, 2025 09:56:48.606663000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
219,Jul 14, 2025 09:56:48.610498000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
220,Jul 14, 2025 09:56:48.612383000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
221,Jul 14, 2025 09:56:48.654715000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
222,Jul 14, 2025 09:56:48.656644000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
223,Jul 14, 2025 09:56:48.782388000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
224,Jul 14, 2025 09:56:48.784169000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
225,Jul 14, 2025 09:56:48.786930000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
226,Jul 14, 2025 09:56:48.790114000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
227,Jul 14, 2025 09:56:48.832718000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
228,Jul 14, 2025 09:56:48.835312000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
229,Jul 14, 2025 09:56:48.959712000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
230,Jul 14, 2025 09:56:48.961863000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
231,Jul 14, 2025 09:56:48.964494000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
232,Jul 14, 2025 09:56:48.966740000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
233,Jul 14, 2025 09:56:49.017623000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
234,Jul 14, 2025 09:56:49.019897000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
235,Jul 14, 2025 09:56:49.130892000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
236,Jul 14, 2025 09:56:49.134393000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
237,Jul 14, 2025 09:56:49.137275000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
238,Jul 14, 2025 09:56:49.140437000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
239,Jul 14, 2025 09:56:49.192898000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
240,Jul 14, 2025 09:56:49.195814000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
241,Jul 14, 2025 09:56:49.297051000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
242,Jul 14, 2025 09:56:49.301103000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
243,Jul 14, 2025 09:56:49.303865000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
244,Jul 14, 2025 09:56:49.307953000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
245,Jul 14, 2025 09:56:49.355994000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
246,Jul 14, 2025 09:56:49.359910000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
247,Jul 14, 2025 09:56:49.476075000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
248,Jul 14, 2025 09:56:49.477870000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
249,Jul 14, 2025 09:56:49.481174000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
250,Jul 14, 2025 09:56:49.484500000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
251,Jul 14, 2025 09:56:49.534202000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
252,Jul 14, 2025 09:56:49.536901000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
253,Jul 14, 2025 09:56:49.652247000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
