frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1509","Jul 14, 2025 09:49:52.667314000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2653 Ack=2360 Win=20480 Len=0"
"1510","Jul 14, 2025 09:49:52.669197000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1509#1] 64279 → 502 [ACK] Seq=2653 Ack=2360 Win=20480 Len=0"
"1511","Jul 14, 2025 09:49:52.774649000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   275; Unit:   1, Func:   1: Read Coils"
"1512","Jul 14, 2025 09:49:52.778428000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2653 Ack=2360 Win=20480 Len=12"
"1513","Jul 14, 2025 09:49:52.781399000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   275; Unit:   1, Func:   1: Read Coils"
"1514","Jul 14, 2025 09:49:52.783569000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2360 Ack=2665 Win=502 Len=10"
"1515","Jul 14, 2025 09:49:52.824429000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2665 Ack=2370 Win=20470 Len=0"
"1516","Jul 14, 2025 09:49:52.826648000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1515#1] 64279 → 502 [ACK] Seq=2665 Ack=2370 Win=20470 Len=0"
"1517","Jul 14, 2025 09:49:52.948604000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   276; Unit:   1, Func:   4: Read Input Registers"
"1518","Jul 14, 2025 09:49:52.950689000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2665 Ack=2370 Win=20470 Len=12"
"1519","Jul 14, 2025 09:49:52.955495000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   276; Unit:   1, Func:   4: Read Input Registers"
"1520","Jul 14, 2025 09:49:52.957842000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2370 Ack=2677 Win=502 Len=11"
"1521","Jul 14, 2025 09:49:53.005377000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2677 Ack=2381 Win=20459 Len=0"
"1522","Jul 14, 2025 09:49:53.006707000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1521#1] 64279 → 502 [ACK] Seq=2677 Ack=2381 Win=20459 Len=0"
"1523","Jul 14, 2025 09:49:53.067544000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xe0e9 A chrome.cloudflare-dns.com"
"1524","Jul 14, 2025 09:49:53.070795000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x06ef HTTPS chrome.cloudflare-dns.com"
"1525","Jul 14, 2025 09:49:53.074402000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"1526","Jul 14, 2025 09:49:53.076568000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"1527","Jul 14, 2025 09:49:53.121668000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   277; Unit:   1, Func:   3: Read Holding Registers"
"1528","Jul 14, 2025 09:49:53.123893000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2677 Ack=2381 Win=20459 Len=12"
